p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	species
1.02684803821157e-29	1.65042657193564	0.13	0.038	5.10867167490637e-25	Spis-XP-022786703-1	Spis
1.68455198741055e-21	1.64829773059949	0.107	0.034	8.38081459256625e-17	Spis-XP-022806731-1	Spis
1.52583995302507e-46	1.64710985924231	0.288	0.106	7.59120635029504e-42	Spis-XP-022794150-1	Spis
3.17985551644963e-64	1.64000622542806	0.256	0.07	1.58200991798885e-59	Spis-XP-022801426-1	Spis
6.88886178575614e-27	1.63513819591165	0.154	0.053	3.42727762703154e-22	Spis-XP-022801638-1	Spis
2.0822008653667e-27	1.63288732071136	0.159	0.055	1.03591575252859e-22	Spis-XP-022794311-1	Spis
6.81163488052572e-51	1.62955022655722	0.151	0.033	3.38885646941035e-46	Spis-XP-022791309-1	Spis
7.99344885768693e-63	1.62702351365083	0.455	0.195	3.97682074118783e-58	Spis-XP-022781592-1	Spis
3.12307829079262e-40	1.62168861501559	0.196	0.061	1.55376268045224e-35	Spis-LOC111343797	Spis
2.38337554818814e-19	1.60954852891928	0.126	0.046	1.18575316897908e-14	Spis-XP-022794576-1	Spis
3.13921853007141e-64	1.60875669403785	0.364	0.126	1.56179261089583e-59	Spis-XP-022793665-1	Spis
1.75329233930887e-46	1.60746576410424	0.261	0.09	8.72280471729555e-42	Spis-XP-022791228-1	Spis
3.09786334581849e-37	1.60420923677565	0.161	0.046	1.54121799317816e-32	Spis-XP-022780703-1	Spis
9.36835701352482e-33	1.59808663643956	0.164	0.052	4.66085129779873e-28	Spis-XP-022782535-1	Spis
2.77380421559144e-61	1.59719688419304	0.135	0.023	1.3799953352989e-56	Spis-XP-022789399-1	Spis
4.11915891086716e-40	1.59676758863417	0.211	0.07	2.04932274974552e-35	Spis-XP-022783470-1	Spis
2.75435677879412e-22	1.58877473664064	0.119	0.04	1.37032004101786e-17	Spis-XP-022806495-1	Spis
9.73326362427386e-83	1.58465535985618	0.305	0.078	4.84239598571249e-78	Spis-XP-022800693-1	Spis
9.46323044604037e-20	1.58157081065843	0.1	0.032	4.70805177920954e-15	Spis-XP-022805223-1	Spis
3.75590281381587e-39	1.58105182941251	0.248	0.091	1.86859920890153e-34	Spis-XP-022792787-1	Spis
6.51729490084484e-56	1.57961967239756	0.253	0.075	3.24241938611932e-51	Spis-XP-022782907-1	Spis
7.17758896749298e-28	1.5638701796475	0.14	0.044	3.57092228721743e-23	Spis-XP-022782436-1	Spis
2.3252212773722e-18	1.56154337245047	0.13	0.051	1.15682083770544e-13	Spis-XP-022781380-1	Spis
1.14462118905928e-82	1.55896509726824	0.529	0.222	5.69460487768883e-78	Spis-XP-022798574-1	Spis
2.36165573458856e-23	1.55040157224178	0.119	0.038	1.17494734451516e-18	Spis-XP-022781136-1	Spis
3.26585754528695e-29	1.54657243296902	0.148	0.047	1.62479678735571e-24	Spis-XP-022790770-1	Spis
6.14455866460822e-42	1.54589586721804	0.213	0.068	3.05697938122924e-37	Spis-XP-022803987-1	Spis
1.11207155540086e-35	1.54360223623287	0.366	0.174	5.53266719527482e-31	Spis-XP-022790445-1	Spis
1.32336597495135e-10	1.54309129427067	0.143	0.075	6.58387806198045e-06	Spis-XP-022802583-1	Spis
5.40134154198126e-22	1.54035389776979	0.105	0.032	2.6872214305511e-17	Spis-XP-022794857-1	Spis
2.21330771350655e-26	1.52263567869588	0.159	0.056	1.10114272054664e-21	Spis-XP-022790482-1	Spis
6.00877433352605e-22	1.51902685689543	0.103	0.031	2.98942531867255e-17	Spis-XP-022788249-1	Spis
4.53940911788007e-29	1.51203364996493	0.151	0.049	2.25840143023651e-24	Spis-orphan-peak-4715	Spis
2.69515780714406e-28	1.51197434402824	0.146	0.047	1.34086796063224e-23	Spis-XP-022797201-1	Spis
